S.No,BP,AT,PM10,RH,PM2.5,WD,WS,NH3,CO,NO,NO2,NOx,SO2,Ozone,AQI,Label
2186,972.6854167,30.72458333,69.28396269,91.21166667,39.06054183,125.8958333,0.365833333,42.13291667,2.17756087,62.39291667,37.96083333,70.93166667,10.12083333,21.84875,1.407499752,Moderate
2187,972.38625,34.11916667,241.6748047,73.60625,86.83654317,149.96875,0.5325,17.175,2.17756087,167.7416667,86.6725,184.35625,24.0025,38.08333333,1.421806222,Moderate
2188,971.025126,27.43602707,341.5729167,55.7239127,128.9583333,136.0418758,0.928175834,41.37125,2.17756087,128.9144799,111.0829167,179.6975,15.44666667,22.2375,1.518580015,Moderate
2189,972.4591667,13.7875,372.25,80.38083333,290.5,174.7604167,0.34,52.62833333,3.082083333,134.9616667,87.45041667,161.4116667,18.18333333,20.82166667,1.737062155,Moderate
2190,972.545,13.74166667,551.1458333,83.07916667,459.21875,177.6041667,0.395,53.99833333,4.043333333,219.9104167,105.2458333,238.1541667,36.96375,32.31875,2.000778971,Moderate
2191,972.795,15.02208333,613.0339627,81.1225,486.4667918,142.59375,0.4525,60.24166667,3.794075181,159.2220862,98.91416667,177.8747242,34.13,31.27625,3.162123188,Unhealthy
2192,969.7099807,15.51820727,383.6539714,85.29211905,317.1816255,236.536772,0.357680417,55.52833796,3.048028442,129.5925028,79.80072204,164.9101056,18.39324917,15.59599245,2.474694829,Unhealthy
2193,973.2333333,13.49208333,274.2083333,85.22125,247.8854167,155.8958333,1.002083333,53.17125,2.40125,15.65166667,48.94583333,38.79291667,15.99625,23.28333333,2.128319329,Moderate
2194,973.2620833,21.46991243,343.4479167,80.85708333,255.9583333,155.9791667,0.734166667,47.3825,3.465833333,104.1932299,65.72875,136.0725,24.05625,27.33833333,1.403023673,Moderate
2195,973.3954167,28.78232486,359.3310547,83.12125,279.7545422,253.8958333,0.449166667,52.1975,3.765416667,204.5932299,80.48416667,227.0316667,21.03458333,17.56625,1.833466016,Moderate
2196,973.5216667,22.66116243,237.09375,79.94833333,165.25,262.2083333,0.498333333,46.43333333,2.623333333,117.0916667,72.16583333,133.8454167,15.08166667,16.1775,2.623687672,Unhealthy
2197,972.9983333,15.99583333,284.5520833,70.765,164.1770833,255.6770833,0.584166667,40.5375,3.380833333,116.1408362,102.0579167,142.2022242,16.78416667,22.59875,1.679806796,Moderate
2198,973.69875,13.84083333,335.0729167,86.69583333,266.25,142.2916667,1.005416667,46.97958333,3.1775,100.8902097,63.965,114.2350704,11.56416667,18.96416667,1.614791826,Moderate
2199,973.2941667,15.26625,239.8854167,79.52916667,181.5729167,143.6666667,1.182083333,44.31458333,2.394166667,30.46958333,57.91083333,55.64583333,12.14125,26.66291667,1.609753902,Moderate
2200,973.65375,14.44,359.8020833,88.97625,261.2604167,232.2291667,0.3075,45.58541667,2.769583333,132.5220833,55.89208333,137.8408333,12.67916667,15.89166667,1.131027203,Healthy
2201,973.2833333,14.29333333,274.2291667,81.40875,181.6979167,246.0729167,0.310416667,40.69791667,2.941666667,158.9216667,76.80416667,175.0020833,14.14166667,19.50291667,1.84506229,Moderate
2202,973.1116667,14.68291667,306.96875,77.15875,220.5729167,232.9479167,0.310416667,42.06833333,2.756087319,123.22125,55.65458333,130.0341667,14.92583333,36.1725,1.513588274,Moderate
2203,972.5233333,15.26375,352.0833333,70.88208333,209.1145833,237.0208333,0.319166667,41.49958333,2.991067029,119.8313563,96.405,145.3617723,16.26041667,21.19833333,1.615981471,Moderate
2204,971.6854167,14.48166667,461.75,79.8375,353.0625,184.09375,0.30375,41.39083333,3.955833333,204.6275,95.18666667,216.5375,26.87208333,42.83122484,1.822469505,Moderate
2205,971.6916667,15.2675,389.6979167,72.70291667,268.21875,250.3229167,0.363333333,36.00208333,3.101666667,167.4333333,88.20583333,183.4179167,14.93458333,26.74271981,2.721257677,Unhealthy
2206,971.66625,15.63458333,301.4895833,63.22666667,185.9479167,253.4166667,0.385833333,29.94666667,3.017083333,119.2046896,92.475,141.8092723,19.14041667,23.83166667,1.996896696,Moderate
2207,972.5591667,15.84375,390.1875,68.11375,250,222.53125,0.31375,32.28833333,4.134166667,213.9321896,102.2258333,242.2584037,18.38541667,23.89333333,1.653751729,Moderate
